x	y
1.3805336406153633e-09	0.8450434
1.4038103825630158e-09	0.8450245
1.4293459052619492e-09	0.8450029
1.4555212670277912e-09	0.8449773
1.4851572469704057e-09	0.8449423
1.5177021638864278e-09	0.8448971
1.5573773527908998e-09	0.844835
1.6092136202639927e-09	0.8447497
1.655753146779192e-09	0.844675
1.703312088765313e-09	0.8446053
1.758787094825581e-09	0.8445357
1.8199108496182409e-09	0.8444737
1.8922954788019297e-09	0.8444169
1.9953172707201978e-09	0.8443571
2.088655881979388e-09	0.844317
2.210861958996374e-09	0.8442764
2.34192309863751e-09	0.8442435
2.5405264922669852e-09	0.8442077
2.914692312791418e-09	0.8441646
3.33204278265888e-09	0.8441329
3.498233720713965e-09	0.8441228
3.6647079119652714e-09	0.8441129
3.997089788075442e-09	0.8440927
3.9977417162972704e-09	0.8440927
3.9990455727409276e-09	0.8440926
4.000597367623977e-09	0.8440925
4.002616330443272e-09	0.8440924
4.0047843749059666e-09	0.8440923
4.008024636307852e-09	0.8440921
4.01024863462863e-09	0.844092
4.012779497196657e-09	0.8440918
4.0156056510482085e-09	0.8440918
4.018753802655232e-09	0.8440917
4.022688998001762e-09	0.844092
4.02753823906153e-09	0.8440934
4.031746446327969e-09	0.8440962
4.035408297859977e-09	0.8441007
4.038702156327003e-09	0.8441072
4.0418243302975076e-09	0.8441163
4.045244838897718e-09	0.8441312
4.048912925401981e-09	0.8441548
4.052950361067587e-09	0.8441934
4.0573549333707855e-09	0.8442563
4.0622164387086874e-09	0.8443605
4.067572695518436e-09	0.8445331
4.073524981369601e-09	0.8448228
4.080152324525946e-09	0.8453119
4.087594284543976e-09	0.8461485
4.096016126846192e-09	0.8475983
4.105707748070005e-09	0.8501718
4.117159603137199e-09	0.8549196
4.1314072865544156e-09	0.8643495
4.147459822878944e-09	0.8811439
4.164510588311929e-09	0.9079885
4.1819702738342385e-09	0.9469212
4.188283358830955e-09	0.9640546
4.194083554594532e-09	0.9813447
4.200398872957938e-09	1.001932
4.207545793628841e-09	1.027502
4.211579358261551e-09	1.04301
4.215704194787192e-09	1.059679
4.219615984422962e-09	1.076247
4.223810781638269e-09	1.094836
4.228501676757984e-09	1.116626
4.233315139109637e-09	1.140081
4.2467547691811756e-09	1.211329
4.264418202015239e-09	1.317361
4.279581406167172e-09	1.418773
4.2901565213839085e-09	1.494647
4.307141235512927e-09	1.624299
4.340137387004607e-09	1.897829
4.3625268149339176e-09	2.096121
4.3755790475532175e-09	2.215288
4.397089788075472e-09	2.414921
4.400441255204805e-09	2.446362
4.402319613490672e-09	2.463997
4.4046480913696945e-09	2.485871
4.4076728347884476e-09	2.514303
4.410428089923177e-09	2.540214
4.413634365577327e-09	2.570375
4.417321782755805e-09	2.605067
4.421277892678186e-09	2.642279
4.4262515875096226e-09	2.689036
4.432241603113581e-09	2.745274
4.440204826740636e-09	2.81984
4.452039189685301e-09	2.93
4.46071748626238e-09	3.010107
4.469584005761001e-09	3.091151
4.479326212706372e-09	3.178969
4.491873675286192e-09	3.289501
4.508503111636985e-09	3.429614
4.514847706662527e-09	3.480815
4.5201914544143245e-09	3.522766
4.530867346812528e-09	3.602785
4.537120535924199e-09	3.646985
4.543236089577386e-09	3.688113
4.5478149503935545e-09	3.717476
4.552563805715425e-09	3.746577
4.558100065758528e-09	3.778702
4.564045693388627e-09	3.810992
4.5710747004596385e-09	3.846165
4.580049706641337e-09	3.886335
4.588808848261973e-09	3.92047
4.598066633858789e-09	3.951257
4.609592112478341e-09	3.982379
4.621283854048226e-09	4.006371
4.641186302373856e-09	4.032139
4.662943024782568e-09	4.042737
4.678545098728177e-09	4.041411
4.69032444647126e-09	4.036663
4.703458807795608e-09	4.028728
4.716719298363453e-09	4.018847
4.724423008581617e-09	4.012511
4.7313457774896615e-09	4.006608
4.739305299508198e-09	3.999724
4.747870772503725e-09	3.992338
4.76073766342471e-09	3.981564
4.7700771667233185e-09	3.974118
4.779906885280823e-09	3.966738
4.791746209401645e-09	3.958585
4.8033578786693546e-09	3.951444
4.818977637589712e-09	3.943234
4.837166239650898e-09	3.935667
4.858789614130286e-09	3.929255
4.8800157397153315e-09	3.925358
4.90323292886694e-09	3.923299
4.927593058470878e-09	3.922991
4.943116461410892e-09	3.923539
4.958652457718281e-09	3.924466
4.974726350762235e-09	3.925661
4.9916870309598736e-09	3.927035
5.010194400443593e-09	3.928525
5.027849926796841e-09	3.92984
5.0464995287587965e-09	3.931043
5.0642862151222315e-09	3.931973
5.0826130493029215e-09	3.932695
5.100277180213259e-09	3.93317
5.118110766358997e-09	3.93345
5.135221917458582e-09	3.933554
5.151460747931011e-09	3.933532
5.168532802275893e-09	3.933409
5.186728446412302e-09	3.933198
5.205146804990678e-09	3.932933
5.22414816833033e-09	3.932632
5.243860512505582e-09	3.932317
5.26516101907001e-09	3.931994
5.285770875851997e-09	3.931715
5.307502764219466e-09	3.931463
5.3288802877730074e-09	3.931261
5.351500312146696e-09	3.931095
5.374786713049909e-09	3.930968
5.400935910070501e-09	3.930868
5.43414484934552e-09	3.930785
5.454811516202916e-09	3.930751
5.474767023312719e-09	3.930725
5.4961921761074076e-09	3.9307
5.523099465231395e-09	3.930668
5.547752824654964e-09	3.930636
5.577849326397377e-09	3.930592
5.608074495394694e-09	3.930542
5.64767924013241e-09	3.930474
5.699626487292891e-09	3.930385
5.738334542336709e-09	3.930323
5.7819449063046605e-09	3.930261
5.840134442337666e-09	3.930191
5.894880843954276e-09	3.930137
5.979791313134198e-09	3.93007
6.058849736189312e-09	3.930019
6.15533280326443e-09	3.929965
6.263350675144214e-09	3.929912
6.4111497641975205e-09	3.92985
6.70674794230498e-09	3.929751
7.103823987410343e-09	3.929641
7.551514683579965e-09	3.929527
7.688239997068902e-09	3.929494
7.814789370089364e-09	3.929463
7.997089788075742e-09	3.929418
7.9975116169709e-09	3.929418
7.998355274761216e-09	3.929418
8.000042590341848e-09	3.929417
8.001751863410188e-09	3.929417
8.003966295250227e-09	3.929416
8.006499773540699e-09	3.929415
8.009024423613337e-09	3.929415
8.011805977460894e-09	3.929414
8.015048208750553e-09	3.929413
8.018399368382362e-09	3.929412
8.022608370844179e-09	3.92941
8.02684507458934e-09	3.929407
8.030504130019003e-09	3.929403
8.033732509978776e-09	3.929397
8.036722355216586e-09	3.929389
8.0398431885296e-09	3.929376
8.043277767080594e-09	3.929356
8.046957651403643e-09	3.929324
8.051071835788628e-09	3.929272
8.055577594357173e-09	3.929185
8.060654708807941e-09	3.929039
8.066335659387553e-09	3.928789
8.072825293069981e-09	3.928353
8.08026099075998e-09	3.927582
8.088955315700862e-09	3.926177
8.099290851552442e-09	3.923541
8.112051783556894e-09	3.918308
8.12694888573293e-09	3.908497
8.141109225387756e-09	3.894517
8.156337004793878e-09	3.873351
8.17293682287923e-09	3.84201
8.191861115056929e-09	3.794822
8.21205584542992e-09	3.730057
8.231622926158446e-09	3.652127
8.241687968663813e-09	3.605971
8.261646734756597e-09	3.501608
8.273847182073212e-09	3.429251
8.289960837366174e-09	3.323973
8.300490351225883e-09	3.249435
8.31081917847996e-09	3.172183
8.322791419797758e-09	3.077958
8.335370380733442e-09	2.974132
8.352872559047603e-09	2.822845
8.368240967490968e-09	2.684713
8.378096664903871e-09	2.594034
8.397089788075772e-09	2.416362
8.401265305347362e-09	2.376822
8.403442140522966e-09	2.356179
8.405896215591904e-09	2.332883
8.409350217913657e-09	2.300062
8.412422299699902e-09	2.270843
8.415778275791442e-09	2.238903
8.419245302800759e-09	2.205894
8.423409950196792e-09	2.166242
8.428398883566844e-09	2.11876
8.43489549192947e-09	2.05701
8.443343780697554e-09	1.976948
8.450260478092914e-09	1.911686
